date,real,pred_catboost
2018-11-14,-0.0063897980987708,-0.00414985391623784
2018-11-15,-0.0032102756302483,0.004355886391210244
2018-11-16,-0.0096931292056596,0.0012025787927558303
2018-11-19,-0.0065146810211937,-0.012545215053710599
2018-11-20,0.0,-0.01399660413561674
2018-11-21,0.0,0.004348848065161054
2018-11-26,0.0032626456348163,0.007392839140618569
2018-11-27,-0.0032626456348163,0.0034114629475001206
2018-11-28,0.0,0.00849125490982115
2018-11-29,-0.0098522964430116,-0.001102569942128503
2018-11-30,-0.0066225407604934,-0.0020634582283999186
2018-12-03,-0.0100167782434712,0.0025262198086072277
2018-12-04,-0.0237702193339117,-0.017297586200079425
2018-12-06,-0.0138410514118714,-0.009223024541666791
2018-12-07,-0.0069930354909706,-0.016058442758073586
2018-12-10,0.0,-0.0028270608189988338
2018-12-11,0.0139375078437815,0.0014519491075254132
2018-12-12,0.0068965790590604,0.0018677753726727597
2018-12-13,0.0,0.0023088449877286753
2018-12-14,-0.0068965790590604,-0.014256636173671686
2018-12-17,-0.0104348772925795,-0.017585901928121907
2018-12-18,-0.0140847398817389,-0.006199288935706629
2018-12-19,-0.017889564750775,-0.015286034719448201
2018-12-20,0.007194275634027,-0.016224410137498865
2018-12-21,0.0,-0.01581762970504112
2018-12-27,-0.007194275634027,0.004805062694503645
2018-12-28,-0.0182154398913412,-0.0021401221267550014
2019-01-02,-0.0223057575142981,0.007589486910149184
2019-01-03,-0.0383188643021366,-0.024226071453167457
2019-01-04,0.042071213920687,0.01876194348060684
2019-01-07,0.0111733005981252,0.0090426173269031
2019-01-08,0.0110498361865849,0.008836098089046148
2019-01-09,0.0036563112031104,0.006669760200888094
2019-01-10,0.0,0.005070545546583939
2019-01-11,-0.0110092855083693,-0.007168253049998989
2019-01-15,0.0036832454162963,0.0024880143231981403
2019-01-16,0.0036697288889624,-0.0012287986021561337
2019-01-17,0.0072993024816114,0.002571559595357501
2019-01-18,0.0144406841547943,0.009097868338572459
2019-01-22,-0.0180836754332953,-0.013238014039744343
2019-01-23,0.0072727593290795,0.0014722968737761702
2019-01-24,-0.0145987994211524,0.0004358012640157541
2019-01-25,0.0145987994211524,0.008994104971385974
2019-01-28,-0.0036297680505785,-0.007365879705365586
2019-01-29,-0.0109690313705739,-0.0022191714044333456
2019-01-30,-0.0073801072976225,0.009135256961433344
2019-01-31,-0.0262679268206103,0.002451444419826579
2019-02-01,0.0262679268206103,0.006611896225365617
2019-02-04,0.0110498361865849,0.009596395024159406
2019-02-05,-0.0073529743052588,-0.004675569418067557
2019-02-06,-0.0036968618813261,-0.00436859037885344
2019-02-07,-0.0186921330121526,-0.014173970683323258
2019-02-08,-0.0075757938084576,-0.004789395588812477
2019-02-11,0.0075757938084576,-0.0021495676447339787
2019-02-12,0.0112571545246346,0.011545481918010973
2019-02-13,0.0111318403688441,0.005958783850868688
2019-02-14,-0.0186225120980018,-0.004533002668715284
2019-02-15,0.0,0.004290687020266824
2019-02-19,-0.0037664827954769,-0.005648981486461526
2019-02-21,0.0149815536156169,0.001909445346892537
2019-02-22,-0.0149815536156169,-0.0007034733880716254
2019-02-25,0.0075188324140273,-0.00042576527685165313
2019-02-26,-0.0112995552539333,-0.005563351340939935
2019-02-27,0.0187622764555228,0.0018629912327673237
2019-02-28,0.0147604155831206,0.003573535211237202
2019-03-01,0.01092907053219,0.0056777640472124415
2019-03-04,-0.0145987994211524,-0.00048769171997901397
2019-03-05,0.0,-0.002501026644110098
2019-03-06,-0.0110906866941582,-0.008103259992367402
2019-03-07,-0.0187622764555228,-0.007008744750451399
2019-03-08,-0.0076045993852192,-0.005771301880432842
2019-03-11,0.0076045993852192,0.011444712560263004
2019-03-12,-0.0114286958236228,0.0036847704355932142
2019-03-13,0.0,0.0034400247773809377
2019-03-14,0.0076336248550711,0.0002541551585308529
2019-03-15,-0.0153259704782268,-0.004234995417676381
2019-03-18,0.00385356931599,0.0048062063629273075
2019-03-19,0.0038387763071656,0.0021132651965628463
2019-03-20,-0.0271861403041567,-0.007791408939817955
2019-03-21,0.0,0.0030265558870059047
2019-03-22,-0.0401660417253347,-0.019459859129572505
2019-03-25,-0.0041067819526533,-0.0032329197047404183
2019-03-26,-0.0082645098498934,0.0068371639488219215
2019-03-27,-0.0083333815591443,-0.009430074753367068
2019-03-28,0.0,0.004674732746649038
2019-03-29,0.0083333815591443,0.006803962766298686
2019-04-01,0.0326559629740527,0.009922715043359717
2019-04-02,-0.0040241502997255,-0.0002168245647740247
2019-04-03,0.0160003413464411,0.002582184007734948
2019-04-04,-0.0039761483796394,0.0020197576273977688
2019-04-05,-0.0039920212695373,0.00298111531551134
2019-04-08,0.0079681696491767,-0.0014175197475322246
2019-04-09,-0.0039761483796394,-0.004973141169580142
2019-04-10,-0.0120241929668016,-0.0005643679485625823
2019-04-11,0.0120241929668016,-0.0028420628366604373
2019-04-12,0.0197245053477786,0.009582201737261894
2019-04-15,-0.0039138993211363,0.00042484065664397574
2019-04-16,0.0194180858571015,0.0031805051480449866
2019-04-17,-0.00385356931599,0.002866499226361585
2019-04-18,-0.0077519768043179,0.00016618955418444407
2019-04-23,0.0,0.007696578254118874
2019-04-24,-0.0156865961676996,-0.0015271489955083978
2019-04-25,0.0039447782910164,-0.0006363023910303856
2019-04-26,-0.0118813278867527,0.0004887451245113408
2019-04-29,0.0118813278867527,0.002161676144757298
2019-04-30,-0.0118813278867527,-0.0014897892258558902
2019-05-01,0.0039761483796394,-0.008807062287378419
2019-05-02,0.0118344576470028,-0.001700762987051586
